Entry,Entry name,Status,Protein names,Gene names,Organism,Length
F8VTZ0,F8VTZ0_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),64
F8VXH9,F8VXH9_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),160
F8VZX2,F8VZX2_HUMAN,unreviewed,Poly(rC)-binding protein 2,PCBP2,Homo sapiens (Human),321
F8W0G4,F8W0G4_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),158
F8W1G6,F8W1G6_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),202
H3BND9,H3BND9_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),112
H3BRU6,H3BRU6_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),301
H3BSP4,H3BSP4_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),36
H3BSS4,H3BSS4_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),184
Q15366,PCBP2_HUMAN,reviewed,Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2),PCBP2,Homo sapiens (Human),365
K7EJ73,K7EJ73_HUMAN,unreviewed,"39S ribosomal protein L4, mitochondrial (Fragment)",MRPL4,Homo sapiens (Human),119
K7EKI4,K7EKI4_HUMAN,unreviewed,"39S ribosomal protein L4, mitochondrial",MRPL4,Homo sapiens (Human),127
K7ELF1,K7ELF1_HUMAN,unreviewed,"39S ribosomal protein L4, mitochondrial (Fragment)",MRPL4,Homo sapiens (Human),163
K7ELQ0,K7ELQ0_HUMAN,unreviewed,"39S ribosomal protein L4, mitochondrial",MRPL4,Homo sapiens (Human),220
K7ES61,K7ES61_HUMAN,unreviewed,"39S ribosomal protein L4, mitochondrial (Fragment)",MRPL4,Homo sapiens (Human),300
Q9BYD3,RM04_HUMAN,reviewed,"39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4) (Mitochondrial large ribosomal subunit protein uL4m)",MRPL4 CDABP0091 CGI-28,Homo sapiens (Human),311
X6RAY8,X6RAY8_HUMAN,unreviewed,"39S ribosomal protein L4, mitochondrial",MRPL4,Homo sapiens (Human),357
A0A0A0MRF4,A0A0A0MRF4_HUMAN,unreviewed,"39S ribosomal protein L19, mitochondrial",MRPL19,Homo sapiens (Human),173
H7C2J0,H7C2J0_HUMAN,unreviewed,"39S ribosomal protein L19, mitochondrial (Fragment)",MRPL19,Homo sapiens (Human),79
P49406,RM19_HUMAN,reviewed,"39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19) (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein bL19m)",MRPL19 KIAA0104 MRPL15,Homo sapiens (Human),292
S4R3W9,S4R3W9_HUMAN,unreviewed,"39S ribosomal protein L19, mitochondrial (Fragment)",MRPL19,Homo sapiens (Human),143
S4R455,S4R455_HUMAN,unreviewed,"39S ribosomal protein L19, mitochondrial (Fragment)",MRPL19,Homo sapiens (Human),58
P60321,NANO2_HUMAN,reviewed,Nanos homolog 2 (NOS-2),NANOS2 NOS2,Homo sapiens (Human),138
P03950,ANGI_HUMAN,reviewed,Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5),ANG RNASE5,Homo sapiens (Human),147
A0A087WUN7,A0A087WUN7_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,Homo sapiens (Human),92
G3V2S9,G3V2S9_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,Homo sapiens (Human),124
G3V4X6,G3V4X6_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,Homo sapiens (Human),98
H0YJ07,H0YJ07_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment)",SLIRP,Homo sapiens (Human),56
H0YJ40,H0YJ40_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment)",SLIRP,Homo sapiens (Human),96
H0YJI1,H0YJI1_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment)",SLIRP,Homo sapiens (Human),40
H0YJU7,H0YJU7_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment)",SLIRP,Homo sapiens (Human),72
H0YJW7,H0YJW7_HUMAN,unreviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment)",SLIRP,Homo sapiens (Human),76
Q9GZT3,SLIRP_HUMAN,reviewed,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP C14orf156 DC23 DC50 PD04872,Homo sapiens (Human),109
Q14684,RRP1B_HUMAN,reviewed,Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B),RRP1B KIAA0179,Homo sapiens (Human),758
C9IY40,C9IY40_HUMAN,unreviewed,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),225
C9J5E0,C9J5E0_HUMAN,unreviewed,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),94
C9JZG7,C9JZG7_HUMAN,unreviewed,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),103
C9JZW2,C9JZW2_HUMAN,unreviewed,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),96
Q5T653,RM02_HUMAN,reviewed,"39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein uL2m)",MRPL2 CGI-22,Homo sapiens (Human),305
D6RAQ8,D6RAQ8_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),107
D6RAU8,D6RAU8_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),134
D6RB85,D6RB85_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),144
D6RD16,D6RD16_HUMAN,unreviewed,Calnexin,CANX,Homo sapiens (Human),96
D6RDP7,D6RDP7_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),168
D6RFL1,D6RFL1_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),131
D6RFW4,D6RFW4_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),32
D6RG29,D6RG29_HUMAN,unreviewed,Calnexin,CANX,Homo sapiens (Human),61
D6RGY2,D6RGY2_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),308
D6RHJ3,D6RHJ3_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),78
H0Y9H1,H0Y9H1_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),189
H0Y9Q7,H0Y9Q7_HUMAN,unreviewed,Calnexin (Fragment),CANX,Homo sapiens (Human),170
P27824,CALX_HUMAN,reviewed,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),CANX,Homo sapiens (Human),592
F5H380,F5H380_HUMAN,unreviewed,tRNA methyltransferase 10 homolog B,TRMT10B,Homo sapiens (Human),72
F5H4N3,F5H4N3_HUMAN,unreviewed,tRNA methyltransferase 10 homolog B,TRMT10B,Homo sapiens (Human),72
F5H598,F5H598_HUMAN,unreviewed,tRNA methyltransferase 10 homolog B,TRMT10B,Homo sapiens (Human),141
Q6PF06,TM10B_HUMAN,reviewed,tRNA methyltransferase 10 homolog B (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 3) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10B),TRMT10B RG9MTD3,Homo sapiens (Human),316
A0A1W2PQ43,A0A1W2PQ43_HUMAN,unreviewed,Bcl-2-associated transcription factor 1,BCLAF1,Homo sapiens (Human),703
E9PJA7,E9PJA7_HUMAN,unreviewed,Bcl-2-associated transcription factor 1,BCLAF1,Homo sapiens (Human),467
E9PK09,E9PK09_HUMAN,unreviewed,Bcl-2-associated transcription factor 1 (Fragment),BCLAF1,Homo sapiens (Human),725
E9PK91,E9PK91_HUMAN,unreviewed,Bcl-2-associated transcription factor 1,BCLAF1,Homo sapiens (Human),871
E9PKI6,E9PKI6_HUMAN,unreviewed,Bcl-2-associated transcription factor 1,BCLAF1,Homo sapiens (Human),752
E9PQN2,E9PQN2_HUMAN,unreviewed,Bcl-2-associated transcription factor 1,BCLAF1,Homo sapiens (Human),750
H0YF00,H0YF00_HUMAN,unreviewed,Bcl-2-associated transcription factor 1 (Fragment),BCLAF1,Homo sapiens (Human),118
H0YF14,H0YF14_HUMAN,unreviewed,Bcl-2-associated transcription factor 1 (Fragment),BCLAF1,Homo sapiens (Human),187
H0YF63,H0YF63_HUMAN,unreviewed,Bcl-2-associated transcription factor 1 (Fragment),BCLAF1,Homo sapiens (Human),126
Q9NYF8,BCLF1_HUMAN,reviewed,Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1),BCLAF1 BTF KIAA0164,Homo sapiens (Human),920
A0A087WXK3,A0A087WXK3_HUMAN,unreviewed,Integrator complex subunit 7 (Fragment),INTS7,Homo sapiens (Human),152
A0A087WYC2,A0A087WYC2_HUMAN,unreviewed,Integrator complex subunit 7,INTS7,Homo sapiens (Human),87
A0A087X0F3,A0A087X0F3_HUMAN,unreviewed,Integrator complex subunit 7 (Fragment),INTS7,Homo sapiens (Human),114
A0A087X1Q0,A0A087X1Q0_HUMAN,unreviewed,Integrator complex subunit 7,INTS7,Homo sapiens (Human),42
Q9NVH2,INT7_HUMAN,reviewed,Integrator complex subunit 7 (Int7),INTS7 C1orf73,Homo sapiens (Human),962
A0A0A0MSX9,A0A0A0MSX9_HUMAN,unreviewed,"Isoleucine--tRNA ligase, cytoplasmic",IARS,Homo sapiens (Human),1242
J3KR24,J3KR24_HUMAN,unreviewed,"Isoleucine--tRNA ligase, cytoplasmic (Isoleucine-tRNA synthetase, isoform CRA_d)",IARS hCG_31137,Homo sapiens (Human),1152
P41252,SYIC_HUMAN,reviewed,"Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)",IARS,Homo sapiens (Human),1262
Q5TCC6,Q5TCC6_HUMAN,unreviewed,"Isoleucine--tRNA ligase, cytoplasmic",IARS,Homo sapiens (Human),174
Q5TCC9,Q5TCC9_HUMAN,unreviewed,"Isoleucine--tRNA ligase, cytoplasmic (Fragment)",IARS,Homo sapiens (Human),72
Q5TCD1,Q5TCD1_HUMAN,unreviewed,"Isoleucine--tRNA ligase, cytoplasmic (Fragment)",IARS,Homo sapiens (Human),330
D6R9W6,D6R9W6_HUMAN,unreviewed,La-related protein 1B,LARP1B,Homo sapiens (Human),518
D6RJB0,D6RJB0_HUMAN,unreviewed,La-related protein 1B (Fragment),LARP1B,Homo sapiens (Human),574
G3V0E9,G3V0E9_HUMAN,unreviewed,"La ribonucleoprotein domain family, member 2, isoform CRA_d (La-related protein 1B)",LARP1B LARP2 hCG_2026454,Homo sapiens (Human),358
H0Y9B4,H0Y9B4_HUMAN,unreviewed,La-related protein 1B (Fragment),LARP1B,Homo sapiens (Human),25
H0Y9K3,H0Y9K3_HUMAN,unreviewed,La-related protein 1B (Fragment),LARP1B,Homo sapiens (Human),491
Q659C4,LAR1B_HUMAN,reviewed,La-related protein 1B (La ribonucleoprotein domain family member 1B) (La ribonucleoprotein domain family member 2) (La-related protein 2),LARP1B LARP2,Homo sapiens (Human),914
Q15024,EXOS7_HUMAN,reviewed,Exosome complex component RRP42 (Exosome component 7) (Ribosomal RNA-processing protein 42) (p8),EXOSC7 KIAA0116 RRP42,Homo sapiens (Human),291
A0A0A0MTG7,A0A0A0MTG7_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,Homo sapiens (Human),215
A0A0C4DG62,A0A0C4DG62_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,Homo sapiens (Human),218
A0A0C4DH18,A0A0C4DH18_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,Homo sapiens (Human),181
F5GYV5,F5GYV5_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4 (Fragment),ARL6IP4,Homo sapiens (Human),211
F5H7X4,F5H7X4_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4 (Fragment),ARL6IP4,Homo sapiens (Human),307
F8WCT1,F8WCT1_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,Homo sapiens (Human),229
F8WEP2,F8WEP2_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,Homo sapiens (Human),170
H7BZV4,H7BZV4_HUMAN,unreviewed,ADP-ribosylation factor-like protein 6-interacting protein 4 (Fragment),ARL6IP4,Homo sapiens (Human),216
Q66PJ3,AR6P4_HUMAN,reviewed,ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4) (HSP-975) (HSVI-binding protein) (SR-15) (SRp25) (SR-25) (Splicing factor SRrp37),ARL6IP4,Homo sapiens (Human),421
P25398,RS12_HUMAN,reviewed,40S ribosomal protein S12 (Small ribosomal subunit protein eS12),RPS12,Homo sapiens (Human),132
C9JCL9,C9JCL9_HUMAN,unreviewed,THO complex subunit 5 homolog (Fragment),THOC5,Homo sapiens (Human),161
C9JXG5,C9JXG5_HUMAN,unreviewed,THO complex subunit 5 homolog (Fragment),THOC5,Homo sapiens (Human),223
C9JXU6,C9JXU6_HUMAN,unreviewed,THO complex subunit 5 homolog (Fragment),THOC5,Homo sapiens (Human),93
F5GZF3,F5GZF3_HUMAN,unreviewed,THO complex subunit 5 homolog,THOC5,Homo sapiens (Human),127
F8WCP5,F8WCP5_HUMAN,unreviewed,THO complex subunit 5 homolog,THOC5,Homo sapiens (Human),343
F8WES8,F8WES8_HUMAN,unreviewed,THO complex subunit 5 homolog,THOC5,Homo sapiens (Human),43
H7C072,H7C072_HUMAN,unreviewed,THO complex subunit 5 homolog (Fragment),THOC5,Homo sapiens (Human),262
H7C441,H7C441_HUMAN,unreviewed,THO complex subunit 5 homolog (Fragment),THOC5,Homo sapiens (Human),176
Q13769,THOC5_HUMAN,reviewed,THO complex subunit 5 homolog (Functional spliceosome-associated protein 79) (fSAP79) (NF2/meningioma region protein pK1.3) (Placental protein 39.2) (PP39.2) (hTREX90),THOC5 C22orf19 KIAA0983,Homo sapiens (Human),683
A5YKK6,CNOT1_HUMAN,reviewed,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),CNOT1 CDC39 KIAA1007 NOT1 AD-005,Homo sapiens (Human),2376
H3BMH0,H3BMH0_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),277
H3BMZ2,H3BMZ2_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),439
H3BNB1,H3BNB1_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),185
H3BPF1,H3BPF1_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),25
H3BR89,H3BR89_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),193
H3BT18,H3BT18_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),62
H3BTH2,H3BTH2_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),68
H3BU44,H3BU44_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1,CNOT1,Homo sapiens (Human),96
H3BVC9,H3BVC9_HUMAN,unreviewed,CCR4-NOT transcription complex subunit 1 (Fragment),CNOT1,Homo sapiens (Human),241
K7EML2,K7EML2_HUMAN,unreviewed,RNA-binding protein 42,RBM42,Homo sapiens (Human),184
K7EP90,K7EP90_HUMAN,unreviewed,RNA-binding protein 42,RBM42,Homo sapiens (Human),458
K7EQ03,K7EQ03_HUMAN,unreviewed,RNA-binding protein 42,RBM42,Homo sapiens (Human),426
K7ER08,K7ER08_HUMAN,unreviewed,RNA-binding protein 42,RBM42,Homo sapiens (Human),386
Q9BTD8,RBM42_HUMAN,reviewed,RNA-binding protein 42 (RNA-binding motif protein 42),RBM42,Homo sapiens (Human),480
A0A087X279,A0A087X279_HUMAN,unreviewed,Interferon-induced protein with tetratricopeptide repeats 2,IFIT2,Homo sapiens (Human),483
P09913,IFIT2_HUMAN,reviewed,Interferon-induced protein with tetratricopeptide repeats 2 (IFIT-2) (ISG-54 K) (Interferon-induced 54 kDa protein) (IFI-54K) (P54),IFIT2 CIG-42 G10P2 IFI54 ISG54,Homo sapiens (Human),472
F8WCK4,F8WCK4_HUMAN,unreviewed,Glycine--tRNA ligase,GARS,Homo sapiens (Human),79
H7C443,H7C443_HUMAN,unreviewed,Glycine--tRNA ligase (Fragment),GARS,Homo sapiens (Human),77
P41250,GARS_HUMAN,reviewed,Glycine--tRNA ligase (EC 3.6.1.17) (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase) (GlyRS),GARS,Homo sapiens (Human),739
A0A0A0MRW6,A0A0A0MRW6_HUMAN,unreviewed,Nucleolar protein 6,NOL6,Homo sapiens (Human),1008
A0A0C4DFX0,A0A0C4DFX0_HUMAN,unreviewed,Nucleolar protein 6,NOL6,Homo sapiens (Human),200
Q9H6R4,NOL6_HUMAN,reviewed,Nucleolar protein 6 (Nucleolar RNA-associated protein) (Nrap),NOL6,Homo sapiens (Human),1146
A0A0U1RQF9,A0A0U1RQF9_HUMAN,unreviewed,Paraspeckle component 1 (Fragment),PSPC1,Homo sapiens (Human),33
Q8WXF1,PSPC1_HUMAN,reviewed,Paraspeckle component 1 (Paraspeckle protein 1),PSPC1 PSP1,Homo sapiens (Human),523
X6RDA4,X6RDA4_HUMAN,unreviewed,Paraspeckle component 1 (Fragment),PSPC1,Homo sapiens (Human),248
C9JIZ0,C9JIZ0_HUMAN,unreviewed,"LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae), isoform CRA_a (U6 snRNA-associated Sm-like protein LSm8)",LSM8 hCG_14869,Homo sapiens (Human),75
C9JNV3,C9JNV3_HUMAN,unreviewed,U6 snRNA-associated Sm-like protein LSm8 (Fragment),LSM8,Homo sapiens (Human),77
F2Z2Y6,F2Z2Y6_HUMAN,unreviewed,U6 snRNA-associated Sm-like protein LSm8,LSM8,Homo sapiens (Human),67
O95777,LSM8_HUMAN,reviewed,U6 snRNA-associated Sm-like protein LSm8,LSM8,Homo sapiens (Human),96
A0A096LNW8,A0A096LNW8_HUMAN,unreviewed,Integrator complex subunit 3 (Fragment),INTS3,Homo sapiens (Human),280
A0A096LPB9,A0A096LPB9_HUMAN,unreviewed,Integrator complex subunit 3 (Fragment),INTS3,Homo sapiens (Human),41
H0Y8Z1,H0Y8Z1_HUMAN,unreviewed,Integrator complex subunit 3 (Fragment),INTS3,Homo sapiens (Human),49
Q68E01,INT3_HUMAN,reviewed,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A),INTS3 C1orf193 C1orf60,Homo sapiens (Human),1043
E5RGA2,E5RGA2_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (eIF-3 p48),EIF3E EIF3S6 INT6,Homo sapiens (Human),352
E5RHS5,E5RHS5_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E (Fragment),EIF3E,Homo sapiens (Human),226
E5RII3,E5RII3_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E,EIF3E,Homo sapiens (Human),75
E5RIP5,E5RIP5_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E,EIF3E,Homo sapiens (Human),45
E5RIT4,E5RIT4_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E (Fragment),EIF3E,Homo sapiens (Human),75
E5RJ25,E5RJ25_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E,EIF3E,Homo sapiens (Human),56
H0YAW4,H0YAW4_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E (Fragment),EIF3E,Homo sapiens (Human),156
H0YBP5,H0YBP5_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E (Fragment),EIF3E,Homo sapiens (Human),74
H0YBR5,H0YBR5_HUMAN,unreviewed,Eukaryotic translation initiation factor 3 subunit E (Fragment),EIF3E,Homo sapiens (Human),171
P60228,EIF3E_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48),EIF3E EIF3S6 INT6,Homo sapiens (Human),445
Q86YF9,DZIP1_HUMAN,reviewed,Zinc finger protein DZIP1 (DAZ-interacting protein 1/2),DZIP1 DZIP DZIP2 KIAA0996,Homo sapiens (Human),867
J3QLC1,J3QLC1_HUMAN,unreviewed,"28S ribosomal protein S23, mitochondrial (Fragment)",MRPS23,Homo sapiens (Human),61
J3QLR8,J3QLR8_HUMAN,unreviewed,"28S ribosomal protein S23, mitochondrial",MRPS23,Homo sapiens (Human),152
Q9Y3D9,RT23_HUMAN,reviewed,"28S ribosomal protein S23, mitochondrial (MRP-S23) (S23mt) (Mitochondrial small ribosomal subunit protein mS23)",MRPS23 CGI-138 HSPC329,Homo sapiens (Human),190
E9PKV2,E9PKV2_HUMAN,unreviewed,"39S ribosomal protein L17, mitochondrial (Fragment)",MRPL17,Homo sapiens (Human),142
Q9NRX2,RM17_HUMAN,reviewed,"39S ribosomal protein L17, mitochondrial (L17mt) (MRP-L17) (LYST-interacting protein 2) (Mitochondrial large ribosomal subunit protein bL17m)",MRPL17 LIP2,Homo sapiens (Human),175
A0A087WWQ2,A0A087WWQ2_HUMAN,unreviewed,Ribosomal RNA small subunit methyltransferase NEP1 (Fragment),EMG1,Homo sapiens (Human),223
V9GYP5,V9GYP5_HUMAN,unreviewed,Ribosomal RNA small subunit methyltransferase NEP1 (Fragment),EMG1,Homo sapiens (Human),217
Q9H814,PHAX_HUMAN,reviewed,Phosphorylated adapter RNA export protein (RNA U small nuclear RNA export adapter protein),PHAX RNUXA,Homo sapiens (Human),394
A0A087WUF3,A0A087WUF3_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,Homo sapiens (Human),220
K7EIJ2,K7EIJ2_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,Homo sapiens (Human),140
K7EIU8,K7EIU8_HUMAN,unreviewed,Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member),SMAD4,Homo sapiens (Human),456
K7EL15,K7EL15_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,Homo sapiens (Human),120
K7EL18,K7EL18_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,Homo sapiens (Human),126
K7ELK2,K7ELK2_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,Homo sapiens (Human),82
K7ENG1,K7ENG1_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,Homo sapiens (Human),90
K7ENG8,K7ENG8_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,Homo sapiens (Human),151
K7ES96,K7ES96_HUMAN,unreviewed,Mothers against decapentaplegic homolog 4,SMAD4,Homo sapiens (Human),320
Q13485,SMAD4_HUMAN,reviewed,Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4),SMAD4 DPC4 MADH4,Homo sapiens (Human),552
Q14692,BMS1_HUMAN,reviewed,Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog),BMS1 BMS1L KIAA0187,Homo sapiens (Human),1282
K7EJX9,K7EJX9_HUMAN,unreviewed,tRNA (guanine(26)-N(2))-dimethyltransferase (Fragment),TRMT1,Homo sapiens (Human),191
